City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
69,Tarko-Sale,RU,64.9225,77.785,56.32,98,99,6.91,overcast clouds
70,Vestmanna,FO,62.1564,-7.1664,49.12,81,75,11.5,broken clouds
71,Bredasdorp,ZA,-34.5322,20.0403,50.74,73,69,5.03,broken clouds
72,Mareeba,AU,-17.0,145.4333,56.44,85,1,2.3,clear sky
73,Asau,RO,46.4333,26.4,81.52,60,69,2.19,broken clouds
74,Port Hardy,CA,50.6996,-127.4199,55.4,78,41,8.7,scattered clouds
75,Chokurdakh,RU,70.6333,147.9167,46.44,63,59,9.75,broken clouds
76,Yulara,AU,-25.2406,130.9889,58.87,37,0,6.38,clear sky
77,Esperance,AU,-33.8667,121.9,51.64,90,100,19.71,light rain
78,Gillette,US,44.2911,-105.5022,77.92,35,0,12.66,clear sky
79,Bontang,ID,0.1333,117.5,76.93,90,58,7.67,broken clouds
80,Kalmunai,LK,7.4167,81.8167,81.03,79,62,3.78,broken clouds
81,Vardo,NO,70.3705,31.1107,51.78,87,100,14.97,overcast clouds
82,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,8.05,broken clouds
83,Minab,IR,27.1467,57.0801,93.9,53,79,2.46,broken clouds
84,Byron Bay,AU,-28.65,153.6167,55.71,85,52,10.87,broken clouds
85,Riverton,US,40.5219,-111.9391,95.18,29,0,3.0,clear sky
86,East London,ZA,-33.0153,27.9116,56.34,82,0,12.66,clear sky
87,Clyde River,CA,70.4692,-68.5914,48.36,69,35,4.21,scattered clouds
88,Polovinnoye,RU,54.7914,65.9864,56.59,77,39,3.76,scattered clouds
89,Chuy,UY,-33.6971,-53.4616,64.74,88,97,7.58,overcast clouds
90,Hilo,US,19.7297,-155.09,80.28,96,100,6.91,light rain
91,Saldanha,ZA,-33.0117,17.9442,55.71,67,0,19.44,clear sky
92,Yellowknife,CA,62.456,-114.3525,64.56,59,86,17.0,overcast clouds
93,Bengkulu,ID,-3.8004,102.2655,75.56,93,93,5.28,overcast clouds
94,Poum,NC,-20.2333,164.0167,74.93,80,7,11.86,clear sky
95,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,73,99,4.45,overcast clouds
96,Tasiilaq,GL,65.6145,-37.6368,41.16,76,100,0.87,overcast clouds
97,Turbat,PK,26.0023,63.044,84.24,75,78,11.68,moderate rain
98,Tubuala,PA,9.5167,-79.0333,82.26,75,99,3.76,overcast clouds
99,Lasa,IT,46.6166,10.7002,69.67,87,100,1.59,light rain
100,Chau Doc,VN,10.7,105.1167,78.15,89,100,4.38,moderate rain
101,Yumen,CN,40.2833,97.2,76.15,25,0,9.69,clear sky
102,Agadez,NE,19.75,10.25,99.25,16,50,8.79,scattered clouds
103,Lebu,CL,-37.6167,-73.65,53.71,91,100,5.53,overcast clouds
104,Avera,US,33.194,-82.5271,90.91,42,34,6.42,scattered clouds
105,Vila Velha,BR,-20.3297,-40.2925,80.55,68,20,13.8,few clouds
106,Hofn,IS,64.2539,-15.2082,53.02,82,37,3.27,scattered clouds
107,Nuuk,GL,64.1835,-51.7216,61.41,51,75,8.05,broken clouds
108,Antofagasta,CL,-23.65,-70.4,60.08,71,92,7.31,overcast clouds
109,Kieta,PG,-6.2167,155.6333,78.06,84,68,4.94,light rain
110,Fortuna Foothills,US,32.6578,-114.4119,104.22,32,0,16.11,clear sky
111,Port Lincoln,AU,-34.7333,135.8667,53.64,79,0,10.54,light rain
112,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,9.22,broken clouds
113,Talnakh,RU,69.4865,88.3972,69.21,65,68,7.94,broken clouds
114,Dagua,CO,3.6569,-76.6886,71.49,88,95,2.75,light rain
115,Touros,BR,-5.1989,-35.4608,81.79,71,99,18.61,overcast clouds
116,Xining,CN,36.6167,101.7667,56.16,57,1,2.08,clear sky
117,Mahebourg,MU,-20.4081,57.7,70.09,83,40,13.8,scattered clouds
118,Caconda,AO,-13.7333,15.0667,66.24,29,57,4.47,broken clouds
119,Tuktoyaktuk,CA,69.4541,-133.0374,41.5,96,100,15.12,light rain
120,Mount Gambier,AU,-37.8333,140.7667,49.91,100,100,11.5,mist
121,Saint-Philippe,RE,-21.3585,55.7679,69.39,85,72,13.94,light rain
122,Hithadhoo,MV,-0.6,73.0833,81.03,78,100,8.21,overcast clouds
123,Mollendo,PE,-17.0231,-72.0147,63.32,74,30,8.63,scattered clouds
124,Folkestone,GB,51.0833,1.1833,74.89,74,87,14.0,overcast clouds
125,Thompson,CA,55.7435,-97.8558,61.0,54,100,8.84,overcast clouds
126,Elesbao Veloso,BR,-6.2019,-42.1403,98.17,21,14,6.58,few clouds
127,Kodiak,US,57.79,-152.4072,51.31,82,100,0.0,overcast clouds
128,Vostok,RU,46.4856,135.8833,58.71,95,83,1.61,broken clouds
129,Provideniya,RU,64.3833,-173.3,44.1,83,98,7.7,overcast clouds
130,Sabya,SA,17.1495,42.6254,82.02,75,99,17.83,light rain
131,Charters Towers,AU,-20.1,146.2667,55.17,81,0,5.41,clear sky
132,Stornoway,GB,58.2093,-6.3865,59.94,95,100,9.22,overcast clouds
133,Taltal,CL,-25.4,-70.4833,61.48,72,72,4.38,broken clouds
134,Honiara,SB,-9.4333,159.95,76.15,88,39,4.14,scattered clouds
135,Cap Malheureux,MU,-19.9842,57.6142,68.47,75,15,5.01,few clouds
